OBJECTID,LANDUSECODE,LANDUSEDESC,LASTUPDATE,LASTEDITOR,DENSITY,FAR,HISTORY,ACRES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,UNITCOUNT,SHAPE_Length,SHAPE_Area
2031,MU,Mixed-Use,,, , , ,10.65025399,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{A7FCB00D-9FF8-4F92-A7D4-DA81547275FD},0,3735.95401648547,463923.2080778
2032,LDC,Low-Density Commercial,,, , , ,10.30938698,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{897EFD18-1EA5-46D9-B208-023A3C83EF8A},0,4251.4796390644,449075.100600406
2033,CF,Community Facilities,,, , , ,6.93267378,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{74CCE1FC-B208-4F08-B660-D8A373612D46},0,2236.02893489827,301986.062052328
2034,LDC,Low-Density Commercial,,, , , ,0.20854043,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{15839E6F-1AC7-4B4D-8519-55269D46E910},0,456.249477441535,9083.98476262174
2035,LDC,Low-Density Commercial,,, , , ,1.78937318,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{93ACCC8A-0F3F-4C8E-A74B-D8ADB8E55073},0,1283.10655195199,77944.7838256074
2036,LDC,Low-Density Commercial,,, , , ,1.59732436,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{E6D4349E-DC6B-4116-B3A7-076DEC1E4E1B},0,1398.76123689705,69579.1706121069
2037,HDR,High-Density Residential,,,, ,LDR,42.78737981,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{BF3DE614-F454-4F27-A3EE-9957CDBC26D8},717.9,6417.19861674127,1863810.8093766
2038,LDC,Low-Density Commercial,,, , , ,2.25953725,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:51,{A06A5990-F5C6-4651-B44F-DF21F57C0171},0,1393.82840113956,98425.0488309436
2039,OS,Open Space,,, , , ,194.81786635,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{B656C832-7287-4EB3-A5CC-F5412261183D},0,15954.9771476965,8486232.31304592
2040,I,Industrial,,, , , ,30.94083697,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{469358A2-9A71-46E1-B582-A8948AFF3BD8},0,7710.06579649888,1347777.46729648
2041,MDMU,Medium-Density Mixed-Use,,, , , ,9.87030004,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{D4A0D5F4-1E98-44DE-AB8B-CF87B37D6731},0,2752.86204599434,429948.550010324
